City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,korla,5,CN,clear sky,18,41.7597,86.1469,85.05,0.0,0,13.69
1,jamestown,75,US,broken clouds,67,42.097,-79.2353,77.29,0.0,0,5.99
2,airai,52,TL,broken clouds,62,-8.9266,125.4092,61.07,0.0,0,3.69
3,fort nelson,43,CA,scattered clouds,43,58.8053,-122.7002,71.62,0.0,0,2.66
4,victoria,98,HK,overcast clouds,90,22.2855,114.1577,88.97,0.0,0,1.01
5,fayaoue,0,NC,clear sky,60,-20.65,166.5333,71.29,0.0,0,18.61
6,sechura,10,PE,clear sky,70,-5.5569,-80.8222,72.03,0.0,0,18.25
7,puerto ayora,10,EC,clear sky,74,-0.7393,-90.3518,73.08,0.0,0,11.54
8,barrow,90,US,mist,84,71.2906,-156.7887,44.62,0.0,0,17.27
9,panlaitan,100,PH,moderate rain,83,12.1191,119.8486,83.19,1.22,0,19.33
10,castro,100,BR,overcast clouds,93,-24.7911,-50.0119,48.38,0.0,0,6.78
11,cape town,86,ZA,overcast clouds,81,-33.9258,18.4232,54.09,0.0,0,1.99
12,port augusta,11,AU,few clouds,74,-32.5,137.7667,57.7,0.0,0,8.03
13,punta arenas,75,CL,broken clouds,81,-53.15,-70.9167,44.71,0.0,0,19.57
14,albany,61,US,broken clouds,88,42.6001,-73.9662,70.99,0.0,0,7.0
15,vaini,75,TO,broken clouds,94,-21.2,-175.2,68.16,0.0,0,5.75
16,new norfolk,93,AU,overcast clouds,78,-42.7826,147.0587,53.92,0.0,0,7.92
17,kokstad,0,ZA,clear sky,24,-30.5472,29.4241,43.09,0.0,0,5.08
18,avarua,91,CK,overcast clouds,61,-21.2078,-159.775,77.05,0.0,0,6.91
19,san isidro,90,PE,mist,88,-12.1167,-77.05,69.01,0.0,0,10.36
20,acari,32,PE,scattered clouds,75,-15.4311,-74.6158,64.74,0.0,0,5.41
21,busselton,100,AU,overcast clouds,75,-33.65,115.3333,46.04,0.0,0,12.77
22,faanui,25,PF,light rain,74,-16.4833,-151.75,78.15,0.1,0,7.72
23,komsomolskiy,2,UZ,clear sky,39,40.4272,71.7189,81.32,0.0,0,2.3
24,kapaa,90,US,overcast clouds,74,22.0752,-159.319,84.52,0.0,0,3.0
25,north bend,1,US,clear sky,73,43.4065,-124.2243,74.91,0.0,0,20.71
26,catarama,88,EC,overcast clouds,60,-1.5833,-79.4667,84.24,0.0,0,3.56
27,vestmanna,90,FO,overcast clouds,100,62.1564,-7.1664,50.92,0.0,0,5.75
28,yellowknife,86,CA,overcast clouds,47,62.456,-114.3525,60.33,0.0,0,4.0
29,hobart,75,AU,broken clouds,81,-42.8794,147.3294,54.27,0.0,0,4.0
30,sitka,75,US,light rain,82,57.0531,-135.33,58.89,0.25,0,0.0
31,rikitea,100,PF,overcast clouds,77,-23.1203,-134.9692,74.62,0.0,0,13.33
32,san rafael,14,AR,few clouds,30,-34.6177,-68.3301,43.86,0.0,0,5.08
33,bubaque,97,GW,light rain,82,11.2833,-15.8333,79.88,0.71,0,8.41
34,rudbar,97,AF,overcast clouds,13,30.15,62.6,88.12,0.0,0,19.64
