City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,jamestown,US,77.29,42.097,-79.2353,Hampton Inn & Suites Jamestown
2,airai,TL,61.07,-8.9266,125.4092,Juvinal Martin
3,fort nelson,CA,71.62,58.8053,-122.7002,The Fort Nelson Hotel
5,fayaoue,NC,71.29,-20.65,166.5333,Chez Dydyce Guesthouse
6,sechura,PE,72.03,-5.5569,-80.8222,Hospedaje Costa Bella
7,puerto ayora,EC,73.08,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,albany,US,70.99,42.6001,-73.9662,
15,vaini,TO,68.16,-21.2,-175.2,Keleti Beach Resort
18,avarua,CK,77.05,-21.2078,-159.775,Paradise Inn
19,san isidro,PE,69.01,-12.1167,-77.05,Soul Mate-Inn
20,acari,PE,64.74,-15.4311,-74.6158,HOSPEDAJE XIMENA
25,north bend,US,74.91,43.4065,-124.2243,Red Lion Hotel Coos Bay
28,yellowknife,CA,60.33,62.456,-114.3525,The Explorer Hotel
31,rikitea,PF,74.62,-23.1203,-134.9692,People ThankYou
35,padang,ID,75.25,-0.9492,100.3543,Mercure Padang
40,nikolskoye,RU,66.4,59.7035,30.7861,Tourist House - Sablino
43,arraial do cabo,BR,72.32,-22.9661,-42.0278,Pousada Porto Praia
44,touros,BR,76.1,-5.1989,-35.4608,INN NEW HORIZON
45,port alfred,ZA,63.45,-33.5906,26.891,The Halyards Hotel
47,adre,TD,71.37,13.4667,22.2,
51,sistranda,NO,71.56,63.7256,8.834,Hotell Frøya
58,kontagora,NG,68.7,10.3999,5.4695,Queens Guest Inn
59,margate,GB,63.3,51.3813,1.3862,Premier Inn Margate hotel
60,gusev,RU,63.66,54.5922,22.1997,Hotel Imperial
61,kendari,ID,74.84,-3.945,122.4989,Hotel Wixel
62,bardiyah,LY,78.17,31.7561,25.0865,بورتو بردية
64,araguacu,BR,78.76,-12.9306,-49.8264,Hotel Tocantins
67,zhezkazgan,KZ,64.2,47.8043,67.7144,Hotel Zumrat
68,atuona,PF,78.19,-9.8,-139.0333,Villa Enata
71,port hedland,AU,62.65,-20.3167,118.5667,The Esplanade Hotel
73,ribeira grande,PT,72.32,38.5167,-28.7,Quinta da Meia Eira
77,vila franca do campo,PT,68.41,37.7167,-25.4333,Pestana Bahia Praia
85,praia da vitoria,PT,72.75,38.7333,-27.0667,Hotel Branco I
89,bengkulu,ID,72.81,-3.8004,102.2655,Grage Hotel Bengkulu
90,east london,ZA,73.06,-33.0153,27.9116,Tu Casa
