City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yellowknife,62.456,-114.3525,62.29,63,75,8.05,CA,2021-07-26 15:55:05
1,Ushuaia,-54.8,-68.3,33.46,86,90,6.91,AR,2021-07-26 15:45:06
2,Poum,-20.2333,164.0167,70.07,70,80,15.66,NC,2021-07-26 15:46:26
3,Albany,42.6001,-73.9662,82.81,66,2,1.01,US,2021-07-26 15:53:57
4,Mataura,-46.1927,168.8643,45.48,98,100,3.83,NZ,2021-07-26 15:56:17
5,Pechenga,69.5259,31.1703,56.26,70,40,7.96,RU,2021-07-26 15:56:18
6,Worland,44.0169,-107.9554,87.55,17,22,4.79,US,2021-07-26 15:56:18
7,Lerwick,60.1545,-1.1494,59.0,94,100,15.97,GB,2021-07-26 15:49:43
8,Lavrentiya,65.5833,-171.0,44.13,99,100,3.69,RU,2021-07-26 15:56:19
9,Punta Arenas,-53.15,-70.9167,41.11,75,0,11.5,CL,2021-07-26 15:51:59
10,Rikitea,-23.1203,-134.9692,73.36,75,20,15.75,PF,2021-07-26 15:56:19
11,Barrow,71.2906,-156.7887,39.22,99,90,10.36,US,2021-07-26 15:56:20
12,Busselton,-33.65,115.3333,57.09,61,48,28.72,AU,2021-07-26 15:49:00
13,Bethel,41.3712,-73.414,86.11,65,100,1.01,US,2021-07-26 15:56:20
14,Kruisfontein,-34.0033,24.7314,66.88,21,100,16.13,ZA,2021-07-26 15:47:16
15,Hilo,19.7297,-155.09,73.8,98,90,6.91,US,2021-07-26 15:56:21
16,Vaini,-21.2,-175.2,74.91,80,76,3.38,TO,2021-07-26 15:49:28
17,Nohar,29.1833,74.7667,86.67,74,100,16.8,IN,2021-07-26 15:56:22
18,Berlevag,70.8578,29.0864,48.0,83,72,8.63,NO,2021-07-26 15:49:31
19,Narsaq,60.9167,-46.05,60.44,45,58,3.78,GL,2021-07-26 15:56:23
20,Valdivia,-39.8142,-73.2459,37.49,57,9,4.43,CL,2021-07-26 15:56:23
21,Naze,28.3667,129.4833,77.31,86,100,13.42,JP,2021-07-26 15:56:23
22,Fonte Boa,-2.4959,-66.2662,90.68,50,71,3.31,BR,2021-07-26 15:56:24
23,Yate,51.5407,-2.4184,79.92,62,78,9.98,GB,2021-07-26 15:56:24
24,Castro,-24.7911,-50.0119,72.46,39,1,9.57,BR,2021-07-26 15:56:25
25,Bluff,-46.6,168.3333,45.81,75,83,15.82,NZ,2021-07-26 15:56:25
26,Cape Town,-33.9258,18.4232,75.61,56,0,8.05,ZA,2021-07-26 15:55:08
27,Alice Springs,-23.7,133.8833,62.15,22,55,10.36,AU,2021-07-26 15:55:57
28,Faanui,-16.4833,-151.75,77.9,76,60,12.12,PF,2021-07-26 15:46:58
29,Sao Felix Do Xingu,-6.6447,-51.995,95.16,24,57,4.5,BR,2021-07-26 15:47:00
30,Ribeira Grande,38.5167,-28.7,77.4,69,20,16.11,PT,2021-07-26 15:56:26
